label,recall@5,recall@10,ndcg@5,ndcg@10,invalid_rate
"K=256, L=3, d=384, beam=20 (default)",0.0342,0.0488,0.0245,0.0292,0.0238
"K=64,  L=3",0.0041211621677313005,0.006954461158046569,0.002928576745468783,0.003840679089298842,1.2045925200906655
"K=128, L=3",0.0033999587883783225,0.007057490212239852,0.0024148939804478358,0.003583953912811155,1.201962703482382
"K=256, L=2",0.0013908922316093139,0.002112095610962291,0.0008792542545297625,0.0011012381309357495,1.015521327014218
"K=256, L=4",0.0006696888522563362,0.00123634865031939,0.0003129920007837165,0.0004932805866070281,1.2491706161137441
"d=256, heads=4, layers=4",0.03451473315474964,0.04723882134762003,0.024971430955355436,0.02906760234218382,0.34372037914691944
"d=384, heads=6, layers=6",0.028796620647022462,0.04239645580053575,0.02097148340429669,0.025355014273605144,0.6468936740160726
"beam=10, d=384",0.033432928085720175,0.05517205852050278,0.024180865377143385,0.03093900938095388,0.003899649701215743
